Name,Cluster,Min Age,Rating Average,Users Rated,Complexity Average,Play Time,Min Players,Max Players,Custom Rating
summoner wars: phoenix elves vs tundra orcs,645,9,7.53,2559,2.32,30,2,4,19269.27
auztralia,952,13,7.4,3093,2.93,120,1,4,22888.2
whitehall mystery,932,13,7.59,2353,2.17,60,2,4,17859.27
outlive,455,14,7.37,3581,3.02,110,2,4,26391.97
virgin queen,553,12,8.05,1553,4.4,420,2,6,12501.650000000001
union pacific,288,12,7.21,4177,2.55,90,2,6,30116.17
the estates,398,10,7.49,2551,2.34,60,2,5,19106.99
in the hall of the mountain king,178,12,7.89,2029,2.78,90,2,5,16008.81
brew crafters,332,12,7.44,2802,3.57,90,2,5,20846.88
conflict of heroes: awakening the bear! - operation barbarossa 1941 (second edition),802,13,7.98,1717,3.26,180,2,4,13701.66
friedrich,915,12,7.55,2506,3.15,210,3,4,18920.3
legendary: a marvel deck building game - villains,405,14,7.6,2544,2.71,45,1,5,19334.399999999998
hyperborea,304,14,7.21,4393,3.18,150,2,6,31673.53
carcassonne: the city,485,8,7.2,4210,2.26,45,2,4,30312.0
bonfire,952,12,7.98,1585,3.6,100,1,4,12648.300000000001
dogs of war,349,14,7.52,2536,2.66,75,3,5,19070.719999999998
not alone,430,10,7.02,7959,1.96,45,2,7,55872.17999999999
perudo,118,8,6.9,12606,1.26,30,2,6,86981.40000000001
ricochet robots,884,10,7.0,8014,2.42,30,1,99,56098.0
new frontiers,771,14,7.61,2189,2.86,75,2,5,16658.29
summoner wars: guild dwarves vs cave goblins,645,9,7.58,2329,2.24,30,2,4,17653.82
fugitive,176,10,7.22,3922,1.68,20,2,2,28316.84
ca$h 'n guns (second edition),628,10,6.89,12627,1.26,30,4,8,87000.03
my city,294,10,7.87,1722,2.12,30,2,4,13552.14
celestia,101,8,6.98,8395,1.33,30,2,6,58597.100000000006
thunderstone,185,12,6.94,10086,2.5,60,1,5,69996.84000000001
878 vikings: invasions of england,815,12,7.55,2491,2.64,120,2,4,18807.05
san marco,598,10,7.17,4241,2.68,90,3,4,30407.97
bridge,541,12,7.46,2891,3.86,60,4,4,21566.86
genoa,695,12,7.07,5910,3.08,120,2,5,41783.700000000004
smash up: science fiction double feature,461,12,7.3,3677,2.3,45,2,2,26842.1
